"index","name","sell","where_how","shadow","total_catches_to_unlock","spawn_rates","rain_snow_catch_up","nh_jan","nh_feb","nh_mar","nh_apr","nh_may","nh_jun","nh_jul","nh_aug","nh_sep","nh_oct","nh_nov","nh_dec","sh_jan","sh_feb","sh_mar","sh_apr","sh_may","sh_jun","sh_jul","sh_aug","sh_sep","sh_oct","sh_nov","sh_dec","color_1","color_2","size","lighting_type","icon_filename","critterpedia_filename","furniture_filename","internal_id","unique_entry_id"
60.0,"red snapper",3000.0,"Sea","Large",0.0,"5–7","No","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","Red","Black","1x1","Fluorescent","Fish49","FishTai","FtrFishTai",2267.0,"iY4zfgojAfLskW4CQ"
65.0,"ribbon eel",600.0,"Sea","Long",0.0,"2","No","NA","NA","NA","NA","NA","All day","All day","All day","All day","All day","NA","NA","All day","All day","All day","All day","NA","NA","NA","NA","NA","NA","NA","All day","Blue","Black","2x1","Fluorescent","Fish71","FishHanahigeutubo","FtrFishHanahige",2272.0,"T9zeSBHpB5qyAZTxu"
45.0,"saddled bichir",4000.0,"River","Large",20.0,"1","No","NA","NA","NA","NA","NA","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","NA","NA","NA","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","NA","NA","NA","NA","NA","NA","NA","NA","9 PM – 4 AM","Brown","Black","2x1","Fluorescent","Fish68","FishEndorikerii","FtrFishEndlicheri",2254.0,"bcTmnwZxrw2iJsQmf"
31.0,"salmon",700.0,"River (mouth)","Large",0.0,"20","No","NA","NA","NA","NA","NA","NA","NA","NA","All day","NA","NA","NA","NA","NA","All day","NA","NA","NA","NA","NA","NA","NA","NA","NA","Brown","Black","2x1","Fluorescent","Fish27","FishSake","FtrFishSake",2242.0,"iwXhnZcSezNxqdNQf"
72.0,"saw shark",12000.0,"Sea","Large w/Fin",50.0,"1","No","NA","NA","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","NA","NA","NA","NA","NA","4 PM – 9 AM","Brown","Black","2x1","Fluorescent","Fish74","FishNokogirizame","FtrFishNokogiri",2281.0,"tsrT7a8cbtwZrmJTz"
59.0,"sea bass",400.0,"Sea","X-Large",0.0,"11–18","No","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","Gray","Black","2x1","Fluorescent","Fish48","FishSuzuki","FtrFishSuzuki",2266.0,"LkA5hzibm6uiHDB9g"
47.0,"sea butterfly",1000.0,"Sea","X-Small",0.0,"10–11","No","All day","All day","All day","NA","NA","NA","NA","NA","NA","NA","NA","All day","NA","NA","NA","NA","NA","All day","All day","All day","All day","NA","NA","NA","White","Black","1x1","Fluorescent","Fish37","FishKurione","FtrFishKurione",2255.0,"kd5beizyQGeyjeM79"
48.0,"sea horse",1100.0,"Sea","X-Small",0.0,"5–7","No","NA","NA","NA","All day","All day","All day","All day","All day","All day","All day","All day","NA","All day","All day","All day","All day","All day","NA","NA","NA","NA","All day","All day","All day","Orange","Black","1x1","Fluorescent","Fish39","FishTatsunootoshigo","FtrFishTatsunootoshigo",2256.0,"Pw5oZqC29NWEGRfyS"
13.0,"snapping turtle",5000.0,"River","Large",0.0,"2–3","No","NA","NA","NA","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","NA","NA","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","NA","NA","NA","NA","NA","9 PM – 4 AM","9 PM – 4 AM","9 PM – 4 AM","Brown","Black","1x1","No lighting","Fish78","FishKamitsukigame","FtrFishKamitukigame",4192.0,"SJa3LLde3Yuz4H3D7"
12.0,"soft-shelled turtle",3750.0,"River","Large",20.0,"4","No","NA","NA","NA","NA","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","NA","NA","NA","NA","NA","NA","Green","Black","1x1","No lighting","Fish65","FishSuppon","FtrFishSuppon",2224.0,"izuY2f4GtEGT3BtuR"
63.0,"squid",500.0,"Sea","Medium",0.0,"7–10","No","All day","All day","All day","All day","All day","All day","All day","All day","NA","NA","NA","All day","All day","All day","NA","NA","NA","All day","All day","All day","All day","All day","All day","All day","Beige","Black","1x1","Fluorescent","Fish52","FishIka","FtrFishIka",2270.0,"qxHJ6BGgyQujkC28w"
30.0,"stringfish",15000.0,"River (clifftop)","X-Large",100.0,"1","No","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","NA","NA","NA","NA","NA","4 PM – 9 AM","NA","NA","NA","NA","NA","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","4 PM – 9 AM","NA","NA","NA","Brown","Black","2x1","Fluorescent","Fish26","FishItou","FtrFishItou",2241.0,"APXg8kSzjcmoGGWSP"
46.0,"sturgeon",10000.0,"River (mouth)","XX-Large",20.0,"1–4","Yes","All day","All day","All day","NA","NA","NA","NA","NA","All day","All day","All day","All day","NA","NA","All day","All day","All day","All day","All day","All day","All day","NA","NA","NA","Black","Black","2x1","Fluorescent","Fish75","FishTyouzame","FtrFishTyouzame",4189.0,"XabKYtzYDNSNrFvpw"
76.0,"suckerfish",1500.0,"Sea","Medium w/Fin",20.0,"2","No","NA","NA","NA","NA","NA","All day","All day","All day","All day","NA","NA","NA","All day","All day","All day","NA","NA","NA","NA","NA","NA","NA","NA","All day","Black","Black","1x1","Fluorescent","Fish83","FishKobanzame","FtrFishKobanzame",4203.0,"FPpwmMDn9rYAJazyS"
50.0,"surgeonfish",1000.0,"Sea","Small",0.0,"2","No","NA","NA","NA","All day","All day","All day","All day","All day","All day","NA","NA","NA","All day","All day","All day","NA","NA","NA","NA","NA","NA","All day","All day","All day","Blue","Black","1x1","Fluorescent","Fish41","FishNanyouhagi","FtrFishNanyouhagi",2258.0,"s7iioofF5C7PzCZyF"
26.0,"sweetfish",900.0,"River","Medium",0.0,"5–10","No","NA","NA","NA","NA","NA","NA","All day","All day","All day","NA","NA","NA","All day","All day","All day","NA","NA","NA","NA","NA","NA","NA","NA","NA","Green","Black","1x1","Fluorescent","Fish22","FishAyu","FtrFishAyu",2237.0,"dWgg2bjCicuiZjXW6"
14.0,"tadpole",100.0,"Pond","X-Small",0.0,"5–6","No","NA","NA","All day","All day","All day","All day","All day","NA","NA","NA","NA","NA","All day","NA","NA","NA","NA","NA","NA","NA","All day","All day","All day","All day","Black","Blue","1x1","No lighting","Fish64","FishOtamajakusi","FtrFishOtama",2225.0,"rb8MsjWopKYWuQK8s"
23.0,"tilapia",800.0,"River","Medium",0.0,"7–9","No","NA","NA","NA","NA","NA","All day","All day","All day","All day","All day","NA","NA","All day","All day","All day","All day","NA","NA","NA","NA","NA","NA","NA","All day","Black","Black","1x1","Fluorescent","Fish76","FishThirapia","FtrFishThirapia",4190.0,"as78rnkwY3ahrTkBY"
66.0,"tuna",7000.0,"Pier","XX-Large",50.0,"2","Yes","All day","All day","All day","All day","NA","NA","NA","NA","NA","NA","All day","All day","NA","NA","NA","NA","All day","All day","All day","All day","All day","All day","NA","NA","Blue","Black","2x1","Fluorescent","Fish57","FishMaguro","FtrFishMaguro",2274.0,"4PnGXx9DSb866AeCM"
75.0,"whale shark",13000.0,"Sea","Large w/Fin",50.0,"1","Yes","NA","NA","NA","NA","NA","All day","All day","All day","All day","NA","NA","NA","All day","All day","All day","NA","NA","NA","NA","NA","NA","NA","NA","All day","Black","Blue","3x2","No lighting","Fish72","FishJinbeezame","FtrFishJinbee",2282.0,"r3RAtJsXENwnFvQh7"
21.0,"yellow perch",300.0,"River","Medium",0.0,"7–10","No","All day","All day","All day","NA","NA","NA","NA","NA","NA","All day","All day","All day","NA","NA","NA","All day","All day","All day","All day","All day","All day","NA","NA","NA","Yellow","Black","1x1","Fluorescent","Fish18","FishYellowparch","FtrFishYellowparch",2233.0,"bLgE5dicZniF5zZDW"
53.0,"zebra turkeyfish",500.0,"Sea","Medium",0.0,"6–8","No","NA","NA","NA","All day","All day","All day","All day","All day","All day","All day","All day","NA","All day","All day","All day","All day","All day","NA","NA","NA","NA","All day","All day","All day","Red","Black","1x1","Fluorescent","Fish44","FishMinokasago","FtrFishMinokasago",2261.0,"h7fa7Fh3Ay7vAxgE2"
