"index","name","sell","where_how","weather","total_catches_to_unlock","spawn_rates","nh_jan","nh_feb","nh_mar","nh_apr","nh_may","nh_jun","nh_jul","nh_aug","nh_sep","nh_oct","nh_nov","nh_dec","sh_jan","sh_feb","sh_mar","sh_apr","sh_may","sh_jun","sh_jul","sh_aug","sh_sep","sh_oct","sh_nov","sh_dec","color_1","color_2","icon_filename","critterpedia_filename","furniture_filename","internal_id","unique_entry_id"
58.0,"rainbow stag",6000.0,"On trees (any kind)","Any weather",50.0,"7","NA","NA","NA","NA","NA","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","NA","NA","NA","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","NA","NA","NA","NA","NA","NA","NA","NA","7 PM – 8 AM","Brown","Black","Ins48","InsectNijiirokuwagata","FtrInsectNijiirokuwagata",631.0,"Egfv6BDtFMeGZPmfh"
11.0,"Rajah Brooke's birdwing",2500.0,"Flying near flowers","Any except rain",20.0,"5","8 AM – 5 PM","8 AM – 5 PM","NA","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","NA","NA","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","NA","NA","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","NA","8 AM – 5 PM","8 AM – 5 PM","8 AM – 5 PM","Green","Pink","Ins7","InsectAkaeritoribaneageha","FtrInsectAkaeritoribaneageha",584.0,"gLpHgXT4pPXP4XfWQ"
32.0,"red dragonfly",180.0,"Flying near water","Any except rain",0.0,"80","NA","NA","NA","NA","NA","NA","NA","NA","8 AM – 7 PM","8 AM – 7 PM","NA","NA","NA","NA","8 AM – 7 PM","8 AM – 7 PM","NA","NA","NA","NA","NA","NA","NA","NA","Red","Orange","Ins22","InsectAkiakane","FtrInsectAkiakane",585.0,"PKSHvkPphXteXHKuG"
18.0,"rice grasshopper",400.0,"On the ground","Any weather",0.0,"20","NA","NA","NA","NA","NA","NA","NA","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","NA","NA","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","8 AM – 7 PM","NA","NA","NA","NA","NA","NA","NA","Green","Yellow","Ins67","InsectInago","FtrInsectInago",605.0,"ZxXDxrgPvXEHz24Ni"
27.0,"robust cicada",300.0,"On hardwood/cedar trees","Any weather",0.0,"70","NA","NA","NA","NA","NA","NA","8 AM – 5 PM","8 AM – 5 PM","NA","NA","NA","NA","8 AM – 5 PM","8 AM – 5 PM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Black","Blue","Ins18","InsectMinminzemi","FtrInsectMinminzemi",621.0,"cd5ymnRmRvT4n4yjB"
48.0,"rosalia batesi beetle",3000.0,"On tree stumps","Any except rain",20.0,"2","NA","NA","NA","NA","All day","All day","All day","All day","All day","NA","NA","NA","All day","All day","All day","NA","NA","NA","NA","NA","NA","NA","All day","All day","Blue","Black","Ins82","InsectRuriboshikamikiri","FtrInsectRuriboshikamikiri",3487.0,"MSTA9vdJmGoDDADrF"
55.0,"saw stag",2000.0,"On trees (any kind)","Any weather",0.0,"20","NA","NA","NA","NA","NA","NA","All day","All day","NA","NA","NA","NA","All day","All day","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Brown","Black","Ins46","InsectNokogirikuwagata","FtrInsectNokogirikuwagata",632.0,"YQq3iSiBcBAHTWxc2"
52.0,"scarab beetle",10000.0,"On trees (any kind)","Any weather",50.0,"3","NA","NA","NA","NA","NA","NA","11 PM – 8 AM","11 PM – 8 AM","NA","NA","NA","NA","11 PM – 8 AM","11 PM – 8 AM","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Black","Beige","Ins43","InsectPurachinakogane","FtrInsectPurachinakogane",639.0,"2HXdFD8s6BmYYMf4u"
80.0,"scorpion",8000.0,"On the ground","Any weather",0.0,"2","NA","NA","NA","NA","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","NA","NA","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","NA","NA","NA","NA","NA","NA","7 PM – 4 AM","7 PM – 4 AM","Black","Black","Ins63","InsectSasori","FtrInsectSasori",640.0,"xMzHsHbjvvicZvYxg"
75.0,"snail",250.0,"On rocks/bushes","Rain only",0.0,"20","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","Beige","Green","Ins29","InsectKatatsumuri","FtrInsectKatatsumuri",611.0,"rDNLeQnmJQGxsHpmL"
78.0,"spider",600.0,"Shaking trees (hardwood or cedar only)","Any weather",0.0,"30","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","7 PM – 8 AM","Yellow","Orange","Ins61","InsectKumo","FtrInsectKumo",619.0,"s2u8kDoMQx7GbAJTR"
41.0,"stinkbug",120.0,"On flowers","Any except rain",0.0,"40","NA","NA","All day","All day","All day","All day","All day","All day","All day","All day","NA","NA","All day","All day","All day","All day","NA","NA","NA","NA","All day","All day","All day","All day","Green","Yellow","Ins64","InsectKamemushi","FtrInsectKamemushi",608.0,"4u5GZ4z3CyaHhMgqj"
79.0,"tarantula",8000.0,"On the ground","Any weather",0.0,"2","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","NA","NA","NA","NA","NA","NA","7 PM – 4 AM","7 PM – 4 AM","NA","NA","NA","NA","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","7 PM – 4 AM","NA","NA","Brown","Black","Ins62","InsectTaranchura","FtrInsectTaranchura",646.0,"4mto3ZvrZYpJxbm4c"
44.0,"tiger beetle",1500.0,"On the ground","Any except rain",20.0,"15","NA","All day","All day","All day","All day","All day","All day","All day","All day","All day","NA","NA","All day","All day","All day","All day","NA","NA","NA","All day","All day","All day","All day","All day","Green","Yellow","Ins70","InsectHanmyou","FtrInsectHanmyou",599.0,"zzGvu3797KnMb4LCD"
3.0,"tiger butterfly",240.0,"Flying","Any except rain",0.0,"40","NA","NA","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","NA","NA","NA","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","NA","NA","NA","NA","NA","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","Yellow","Green","Ins2","InsectAgehacho","FtrInsectAgehacho",583.0,"GcSpepwg536mYnNuu"
46.0,"violin beetle",450.0,"On tree stumps","Any except rain",0.0,"10","NA","NA","NA","NA","All day","All day","NA","NA","All day","All day","All day","NA","NA","NA","All day","All day","All day","NA","NA","NA","NA","NA","All day","All day","Brown","Black","Ins38","InsectBaiorinmushi","FtrInsectBaiorinmushi",650.0,"poAcys5Mr35ELp5PS"
29.0,"walker cicada",400.0,"On hardwood/cedar trees","Any weather",0.0,"40","NA","NA","NA","NA","NA","NA","NA","8 AM – 5 PM","8 AM – 5 PM","NA","NA","NA","NA","8 AM – 5 PM","8 AM – 5 PM","NA","NA","NA","NA","NA","NA","NA","NA","NA","Black","Pink","Ins19","InsectTsukutsukuhousi","FtrInsectTsukutsukuhousi",649.0,"QdrL4K7seJHvd4ZZM"
67.0,"walking leaf",600.0,"Disguised under trees","Any weather",20.0,"10","NA","NA","NA","NA","NA","NA","All day","All day","All day","NA","NA","NA","All day","All day","All day","NA","NA","NA","NA","NA","NA","NA","NA","NA","Green","Green","Ins34","InsectKonohamushi","FtrInsectKonohamushi",616.0,"kuZaMcg2E7ZX56nio"
66.0,"walking stick",600.0,"On trees (any kind)","Any weather",20.0,"10","NA","NA","NA","NA","NA","NA","4 AM – 8 AM; 5 PM – 7 PM","4 AM – 8 AM; 5 PM – 7 PM","4 AM – 8 AM; 5 PM – 7 PM","4 AM – 8 AM; 5 PM – 7 PM","4 AM – 8 AM; 5 PM – 7 PM","NA","4 AM – 8 AM; 5 PM – 7 PM","4 AM – 8 AM; 5 PM – 7 PM","4 AM – 8 AM; 5 PM – 7 PM","4 AM – 8 AM; 5 PM – 7 PM","4 AM – 8 AM; 5 PM – 7 PM","NA","NA","NA","NA","NA","NA","NA","Brown","Yellow","Ins35","InsectNanafushi","FtrInsectNanafushi",630.0,"WQjgrjYotbwH59vXG"
25.0,"wasp",2500.0,"Shaking trees","Any weather",0.0,"0","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","Yellow","Orange","Ins12","InsectHachi","FtrInsectHachi",643.0,"ZEfBHqM6pFEddBezw"
71.0,"wharf roach",200.0,"On beach rocks","Any weather",0.0,"20","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","All day","Beige","Blue","Ins71","InsectFunamushi","FtrInsectFunamushi",591.0,"2fp9ChfPuPdYefTK3"
2.0,"yellow butterfly",160.0,"Flying","Any except rain",0.0,"60","NA","NA","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","NA","NA","4 AM – 7 PM","4 AM – 7 PM","NA","NA","NA","NA","4 AM – 7 PM","4 AM – 7 PM","NA","NA","NA","NA","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","4 AM – 7 PM","Yellow","Blue","Ins1","InsectMonkicho","FtrInsectMonkicho",625.0,"9d92MqgcnGao8wQjB"
