"name","vfx","diy","buy","sell","color_1","color_2","miles_price","source","source_notes","version","hha_concept_1","hha_concept_2","hha_series","tag","catalog","filename","internal_id","unique_entry_id"
"rocky-mountain flooring","No","No","3000",750.0,"Beige","Beige","NA","Saharah",,"1.0.0","garden","None","None","Nature - Brown","Not for sale","RoomTexFloorRock00",5239.0,"BKwXAcy5Q9mW2GJkH"
"rose flooring","No","No","2200",550.0,"Red","Red","NA","Nook's Cranny",,"1.0.0","fancy","expensive","None","Cloth Floors","For sale","RoomTexFloorRoseCarpet00",4958.0,"5vGSvnYMFe4A5LRte"
"rosewood flooring","No","No","2420",605.0,"Gray","Gray","NA","Nook's Cranny",,"1.0.0","expensive","living room","None","Wood Floors","For sale","RoomTexFloorRoseWood00",5063.0,"jA7bCaTtZq6Z2r4gr"
"rubber-tile flooring","No","No","700",175.0,"Gray","Gray","NA","Nook's Cranny",,"1.0.0","facility","shop","None","Tile Floors","For sale","RoomTexFloorRubberTile00",5163.0,"YiBqEKfe7i4EuseqS"
"rush tatami","No","No","2200",550.0,"Beige","Beige","NA","Nook's Cranny",,"1.0.0","zen-style","living room","None","Tatami","For sale","RoomTexFloorTatami01",5079.0,"rnwpHPKqefSS5Hhz8"
"rush tatami flooring","No","No","2200",550.0,"Beige","Beige","NA","Nook's Cranny",,"1.0.0","zen-style","living room","None","Tatami Panel","For sale","RoomTexFloorTatamiPanel01",5078.0,"CYDJXEYacE5fPeLYJ"
"Saharah's desert","No","No","3000",750.0,"Beige","Beige","NA","Saharah",,"1.0.0","folk art","None","None","Nature - White","Not for sale","RoomTexFloorDesert00",4983.0,"7cH3CsBAarxRhAkZ5"
"sakura-wood flooring","No","Yes","NFS",3200.0,"Pink","Pink","NA","Crafting",,"1.0.0","child's room","fancy","None","Wood Floors","Not for sale","RoomTexFloorSolidWood00",5056.0,"QB6ZXiQbMQ6iWexQm"
"sandlot","No","No","3000",750.0,"Yellow","Beige","NA","Saharah",,"1.0.0","garden","None","None","Nature - Brown","Not for sale","RoomTexFloorEmptyLot00",4985.0,"HZM5De52k9N4E3iei"
"sandy-beach flooring","No","Yes","NFS",4120.0,"Beige","Beige","NA","Crafting",,"1.0.0","ocean","None","None","Nature - White","Not for sale","RoomTexFloorSand00",4970.0,"tDrdWs28RgvnyTMNC"
"sci-fi flooring","Yes","Yes","NFS",7500.0,"Black","Black","NA","Crafting",,"1.0.0","space","facility","None","Special Inorganic Floors","Not for sale","RoomSpFloorSF00",5270.0,"NAEGL6s5arLj9y2ku"
"scramble crosswalk","No","No","3000",750.0,"Gray","Gray","NA","Saharah",,"1.0.0","facility","None","None","Sidewalk","Not for sale","RoomTexFloorScramble00",5010.0,"EHdRo9mbi9QhCtdYN"
"sepia puzzle flooring","No","No","1450",362.0,"Colorful","Colorful","NA","Nook's Cranny",,"1.0.0","fancy","child's room","None","Puzzle Mat","For sale","RoomTexFloorPuzzleMat02",7184.0,"ND2rTCs7dZjKiGXjC"
"ship deck","No","No","4000",1000.0,"Beige","Beige","NA","Nook's Cranny",,"1.0.0","ocean","None","None","Sports Floor","For sale","RoomTexFloorSeaView00",4950.0,"X9tRZEzQMKRKd5rnz"
"sidewalk flooring","No","No","3000",750.0,"Gray","Brown","NA","Saharah",,"1.0.0","shop","facility","None","Sidewalk","Not for sale","RoomTexFloorSidewalk01",5008.0,"3FteXxettQm7iZF2p"
"simple blue flooring","No","No","1500",375.0,"Blue","Blue","NA","Nook's Cranny",,"1.0.0","den","living room","None","Simple Carpet","For sale","RoomTexFloorSimpleCarpet01",5001.0,"JKvF62fyqF6Pg9igx"
"simple purple flooring","No","No","1500",375.0,"Purple","Purple","NA","Nook's Cranny",,"1.0.0","den","expensive","None","Simple Carpet","For sale","RoomTexFloorSimpleCarpet03",5003.0,"qn6BKtgHm5tmoDtAG"
"simple red flooring","No","No","1500",375.0,"Red","Red","NA","Nook's Cranny",,"1.0.0","den","expensive","None","Simple Carpet","For sale","RoomTexFloorSimpleCarpet00",5000.0,"5WEw368jE8FK9LcPa"
"simple white flooring","No","No","1500",375.0,"White","White","NA","Nook's Cranny",,"1.0.0","living room","shop","None","Simple Carpet","For sale","RoomTexFloorSimpleCarpet04",5004.0,"RwMEDYWk9YBgrtXmY"
"ski-slope flooring","No","Yes","NFS",3200.0,"White","White","NA","Crafting",,"1.0.0","freezing cold","None","None","Nature - White","Not for sale","RoomTexFloorGelande00",4989.0,"NpqGszuaZckXifyju"
"skull-print flooring","No","No","3000",750.0,"Black","Black","NA","Nook's Cranny",,"1.0.0","horror","child's room","None","Cloth Floors","For sale","RoomTexFloorSkull00",5248.0,"Ghp5z68RNmKQDDCzz"
"slate flooring","No","No","1380",345.0,"Gray","Gray","NA","Nook's Cranny",,"1.0.0","facility","shop","None","Stone Floors","For sale","RoomTexFloorSlate00",5233.0,"hchG9hWK9Ci3iXzTN"
"starry-sands flooring","No","Yes","NFS",7720.0,"Beige","White","NA","Crafting",,"1.0.0","ocean","fancy","None","Nature - White","Not for sale","RoomTexFloorSandStar00",7239.0,"54Jcui933sPTvdqXY"
"steel flooring","No","Yes","NFS",5250.0,"Gray","Gray","NA","Crafting",,"1.0.0","garage","facility","None","Iron","Not for sale","RoomTexFloorSteel00",4960.0,"nYi4jRsp3MXrnPPDR"
"stone tile","No","No","3000",750.0,"White","White","NA","Nook's Cranny",,"1.0.0","expensive","facility","None","Stone Floors","For sale","RoomTexFloorMarble00",5069.0,"RNMhc9jJApavmhgPC"
"stripe flooring","No","No","1200",300.0,"Colorful","Gray","NA","Nook's Cranny",,"1.0.0","living room","child's room","None","Cloth Floors","For sale","RoomTexFloorStripe00",4963.0,"5CY9wQTePbYzQTDF2"
"sumo ring","No","No","3000",750.0,"Beige","Beige","NA","Saharah",,"1.0.0","fitness","zen-style","None","Sports Floor","Not for sale","RoomTexFloorArena00",5013.0,"qKfY2Nnx5ApBzgGEF"
"swamp flooring","No","No","3000",750.0,"Black","Gray","NA","Saharah",,"1.0.0","garden","horror","None","Nature - Brown","Not for sale","RoomTexFloorBog00",5238.0,"vTPvWC9bkZyeP7BxS"
"tatami","No","No","2200",550.0,"Beige","Beige","NA","Nook's Cranny",,"1.0.0","zen-style","living room","None","Tatami","For sale","RoomTexFloorTatami00",5039.0,"jdcZQ9LCDoroeYKws"
"tatami flooring","No","No","2200",550.0,"Green","White","NA","Nook's Cranny",,"1.0.0","zen-style","living room","None","Tatami Panel","For sale","RoomTexFloorTatamiPanel00",5077.0,"Qo5nLhbZ7iD5JLP4Z"
"terra-cotta flooring","No","No","1800",450.0,"Orange","Orange","NA","Nook's Cranny",,"1.0.0","facility","shop","None","Tile Floors","For sale","RoomTexFloorTileTerracotta00",4971.0,"Ec8TrwurFcmQKi4CZ"
"tiger-print flooring","No","No","1300",325.0,"Black","Orange","NA","Nook's Cranny",,"1.0.0","party","fancy","None","Animal Floor","For sale","RoomTexFloorAnimal03",6848.0,"uz5PotSZqNAT5kgtT"
"train-station flooring","No","No","3000",750.0,"Beige","Brown","NA","Saharah",,"1.0.0","facility","None","None","Sidewalk","Not for sale","RoomTexFloorPlatform00",5009.0,"khwvshrYhvaL9FPsC"
"underwater flooring","Yes","Yes","NFS",6600.0,"Blue","Light blue","NA","Crafting",,"1.0.0","ocean","None","None","Special Nature Floors","Not for sale","RoomSpFloorFishTank00",5268.0,"bGowh78amRY7uJsYE"
"water flooring","Yes","Yes","NFS",7200.0,"Light blue","Blue","NA","Crafting",,"1.0.0","ocean","None","None","Special Nature Floors","Not for sale","RoomSpFloorWater00",5030.0,"opJSK2mkCqkBRQTW3"
"western desert","No","No","3000",750.0,"Beige","Beige","NA","Saharah",,"1.0.0","folk art","horror","None","Nature - Brown","Not for sale","RoomTexFloorWilderness00",4984.0,"24mkYXzRGCvGibXQ9"
"white honeycomb tile","No","No","1420",355.0,"White","White","NA","Nook's Cranny",,"1.0.0","bathroom","facility","None","Honeycomb","For sale","RoomTexFloorHoneycomb03",5042.0,"RKrRAgjoevjYsLwTp"
"white iron-parquet flooring","No","No","2350",587.0,"White","White","NA","Nook's Cranny",,"1.0.0","expensive","living room","None","Iron Parquet","For sale","RoomTexFloorParquetIron03",6843.0,"ZFAq3rRLCCRRgAcF7"
"white mosaic-tile flooring","No","No","900",225.0,"White","White","NA","Nook's Cranny",,"1.0.0","bathroom","facility","None","Tile Floors","For sale","RoomTexFloorTile00",5020.0,"23nmmfSJ7pvKyeuFZ"
"white wedding flooring",,"No","3000",750.0,"None","None","NA","Wedding Season",,"1.2.0","party","expensive","wedding","Tile Floors","Not for sale","RoomTexFloorMarbleTile00",12431.0,"GYZ8kvbfYK7i2NcvT"
"white-brick flooring","No","No","1040",260.0,"White","White","NA","Nook's Cranny",,"1.0.0","facility","shop","None","Brick","For sale","RoomTexFloorBrick00",4974.0,"83vQYs26vwE7aa4bZ"
"white-chocolates flooring","No","No","3000",750.0,"White","Beige","NA","Saharah",,"1.0.0","fancy","None","None","Chocolate","Not for sale","RoomTexFloorChocolate01",5052.0,"b2WBXQkcAqfJ48RH3"
"white-paint flooring","No","No","1040",260.0,"White","White","NA","Nook's Cranny",,"1.0.0","living room","child's room","None","Painted Wood","For sale","RoomTexFloorPaintWood03",5060.0,"JdnrGbAMW7FBxrw5P"
"wildflower meadow","No","No","3000",750.0,"Green","Green","NA","Saharah",,"1.0.0","garden","fancy","None","Grassland","Not for sale","RoomTexFloorGrassland01",5006.0,"dYb6DAfZQJTGN7svs"
"wooden-knot flooring","No","No","780",195.0,"Brown","Brown","NA","Nook's Cranny",,"1.0.0","living room","child's room","None","Wood Floors","For sale","RoomTexFloorCedar00",5049.0,"ttyLLQ39Dc3fK32JE"
"yellow floral flooring","No","No","1520",380.0,"Yellow","Yellow","NA","Nook's Cranny",,"1.0.0","shop","living room","None","Deco Wood","For sale","RoomTexFloorDecoWood00",5073.0,"R69sMEPHQGu7fBzuQ"
"zebra-print flooring","No","No","1300",325.0,"Black","White","NA","Nook's Cranny",,"1.0.0","party","fancy","None","Animal Floor","For sale","RoomTexFloorAnimal02",4962.0,"9Mdszd5EgwJ6omLPf"
